,ssc_name,total_persons
1862,HEXHAM,134
1863,HICKEYS CREEK,132
1864,HANWOOD,1289
1865,HARDEN,2062
1866,HARDYS BAY,244
1867,HAREFIELD,162
1868,HARGRAVES,274
1869,HAROLDS CROSS,60
1870,HARPARARY,48
1871,HARPERS HILL,57
1872,HARRINGTON,3154
1873,HARRINGTON PARK,12507
1874,HARRIS PARK,6310
1875,HARTLEY,446
1876,HARTLEY VALE,75
1877,HARTWOOD,21
1878,HARTYS PLAINS,30
1879,HARWOOD,293
1880,HASSALL GROVE,4739
1881,HASSANS WALLS,0
1882,HASTINGS POINT,677
1883,HAT HEAD,313
1884,HATFIELD,13
1885,HAVILAH,22
1886,HAWKESBURY HEIGHTS,463
1887,HAWKS NEST,1290
1888,HAY,2433
1889,HAY SOUTH,362
1890,HAYES GAP,13
1891,HAYMARKET,8451
1892,HAYSTACK,8
1893,HAYTERS HILL,30
1894,HAYWARDS BAY,1090
1895,HAZELBROOK,5186
1896,HAZELGROVE,89
1897,HEATHCOTE,6217
1898,HEATHERBRAE,512
1899,HEBDEN,42
1900,HEBERSHAM,5884
1901,HECKENBERG,3242
1902,HIGH RANGE,411
1903,HIGHER MACDONALD,11
1904,HIGHFIELDS,861
1905,HILL END,107
1906,HILL TOP (SNOWY MONARO REGIONAL),87
1907,HILL TOP (WINGECARRIBEE),2830
1908,HILLDALE,198
1909,HILLGROVE (ARMIDALE REGIONAL),177
1910,HILLGROVE (WAGGA WAGGA),26
1911,HILLSBOROUGH (LAKE MACQUARIE),667
1912,HILLSBOROUGH (MAITLAND),46
1913,HILLSDALE,5904
1914,HILLSTON,1548
1915,HILLVILLE,307
1916,HILLVUE,6587
1917,HINCHINBROOK,12307
1918,HINTON,472
1919,HOBARTVILLE,2880
1920,HOBBYS YARDS,83
1921,HOGARTH RANGE,45
1922,HOLBROOK,1721
1923,HOLGATE,1003
1924,HOLLISDALE,50
1925,HOLLYDEEN,62
1926,HOLMESVILLE,1409
1927,HOLROYD,1399
1928,HOLSWORTHY,5732
1929,HOLTS FLAT,3
1930,HOME RULE,55
1931,HOMEBUSH,8076
1932,HOMEBUSH WEST,9831
1933,HOMELEIGH,111
1934,HONEYBUGLE,24
1935,HOPEFIELD,85
1936,HOPKINS CREEK,111
1937,HORNINGSEA PARK,4160
1938,HORNSBY,23982
1939,HORNSBY HEIGHTS,6604
1940,HORSE STATION CREEK,102
1941,HORSESHOE BEND,439
1942,HORSESHOE CREEK,85
1943,HORSFIELD BAY,563
1944,HORSLEY,9234
1945,HORSLEY PARK,1954
1946,HOSKINSTOWN,203
1947,HOVELLS CREEK,38
1948,HOWARDS GRASS,73
1949,HOWELL,33
1950,HOWES VALLEY,124
1951,HOWICK,1
1952,HOWLONG,2838
1953,HOXTON PARK,4861
1954,HUMULA,127
1955,HUNGERFORD,17
1956,HUNTERS HILL,10125
1957,HUNTERVIEW,3041
1958,HUNTINGDON,89
1959,HUNTINGWOOD,0
1960,HUNTLEY (ORANGE),153
1961,HUNTLEY (WOLLONGONG),59
1962,HUNTLEYS COVE,816
1963,HUNTLEYS POINT,151
1964,HUONBROOK,163
1965,HURLSTONE PARK,5167
1966,HURSTVILLE,32710
1967,HURSTVILLE GROVE,2837
1968,HUSKISSON,851
1969,HYAMS BEACH,117
1970,HYLAND PARK,451
1971,HYNDMANS CREEK,56
1972,ILARWILL,218
1973,ILFORD,194
1974,ILLABO,151
1975,ILLAROO,36
1976,ILLAWONG,7472
1977,ILUKA,1782
1978,INDI,36
1979,INGEBIRAH,93
1980,INGLEBURN,16399
1981,INGLESIDE,1004
1982,INNES VIEW,32
1983,INVERELL,11894
1984,INVERGORDON,33
1985,INVERGOWRIE,781
1986,IRON POT CREEK,25
1987,IRONBARK,29
1988,IRONMUNGY,5
1989,IRVINGTON,82
1990,IRYMPLE,8
1991,ISABELLA,31
1992,ISLINGTON,1971
1993,IVANHOE,312
1994,JACKADGERY,98
1995,JACKS CREEK,135
1996,JACKSONS FLAT,11
1997,JACKY BULBIN FLAT,24
1998,JAGUMBA,0
1999,JAGUNGAL WILDERNESS,0
2000,JAMBEROO,1764
2001,JAMES CREEK,214
2002,JERRABOMBERRA,9919
2003,JERRARA,168
2004,JERRAWA,80
2005,JERRAWANGALA,72
2006,JERRONG,12
2007,JERRYS PLAINS,392
2008,JERSEYVILLE,118
2009,JESMOND,3392
2010,JEWELLS,2449
2011,JEWS LAGOON,2
2012,JIGGI,409
2013,JILLIBY,1735
2014,JIMENBUEN,36
2015,JINCUMBILLY,3
2016,JINDABYNE,2696
2017,JINDEN,22
2018,JINDERA,2281
2019,JINGELLIC,66
2020,JINGERA,44
2021,JOADJA,125
2022,JOES BOX,13
2023,JOHNS RIVER,330
2024,JOLLY NOSE,0
2025,JONES BRIDGE,25
2026,JONES CREEK,111
2027,JONES ISLAND,64
2028,JORDAN SPRINGS,6558
2029,JUDDS CREEK,16
2030,JUGIONG,254
2031,JUNCTION HILL,1445
2032,JUNEE,5169
2033,JUNEE REEFS,88
2034,KAHIBAH,2571
2035,KAINS FLAT,171
2036,JAMISONTOWN,5602
2037,JANNALI,6493
2038,JASPERS BRUSH,374
2039,JAUNTER,12
2040,JEIR,281
2041,JELLAT JELLAT,84
2042,JEMALONG,78
2043,JEMBAICUMBENE,41
2044,JENNINGS,159
2045,JENOLAN,20
2046,JEOGLA,42
2047,JERANGLE,96
2048,JEREMADRA,174
2049,JEREMY,3
2050,JERILDERIE,1073
2051,JERRABATTGULLA,14
2052,KALANG,277
2053,KALARU,764
2054,KALKITE,219
2055,KAMARAH,93
2056,KAMERUKA,119
2057,KANAHOOKA,5834
2058,KANANGRA,0
2059,KANDOS,1310
2060,KANGALOON,155
2061,KANGAROO CREEK,105
2062,KANGAROO POINT,589
2063,KANGAROO VALLEY,910
2064,KANGAROOBIE,44
2065,KANGIARA,57
2066,KANGY ANGY,318
2067,KANIMBLA,130
2068,KANOONA,150
2069,KANWAL,4183
2070,KAPOOKA,657
2071,KAPUTAR,6
2072,KARAAK FLAT,47
2073,KARABAR,8432
2074,KARANGI,622
2075,KAREELA,3604
2076,KARIONG,6583
2077,KARS SPRINGS,33
2078,KARUAH,1513
2079,KATOOMBA,8319
2080,KAYUGA,55
2081,KEARNS,2832
2082,KEARSLEY,893
2083,KEEPIT,11
2084,KEERA,55
2085,KEERRONG,168
2086,KEINBAH,125
2087,KEIRAVILLE,3789
2088,KEITH HALL,176
2089,KELLYS PLAINS,162
2090,KELLYVILLE,34152
2091,KELLYVILLE RIDGE,11364
2092,KELSO,9676
2093,KELVIN,177
2094,KEMBLA GRANGE,266
2095,KEMBLA HEIGHTS,127
2096,KEMPS CREEK,2331
2097,KEMPSEY,500
2098,KENDALL,1209
2099,KENEBRI,41
2100,KENNAICLE CREEK,7
2101,KENSINGTON,17072
2102,KINDERVALE,19
2103,KING CREEK,1677
2104,KINGFISHER SHORES,177
2105,KINGHORNE,0
2106,KINGS FOREST,40
2107,KINGS LANGLEY,9727
2108,KENTHURST,5350
2109,KENTLYN,779
2110,KENTUCKY,157
2111,KENTUCKY SOUTH,124
2112,KEREWONG,9
2113,KERI KERI,8
2114,KERRABEE,12
2115,KERRIGUNDI,14
2116,KERRS CREEK,50
2117,KEW,1187
2118,KEYBARBIN,2
2119,KHANCOBAN,304
2120,KHATAMBUHL,2
2121,KIA ORA,25
2122,KIACATOO,27
2123,KIAH,147
2124,KIAMA,7321
2125,KIAMA DOWNS,5282
2126,KIAMA HEIGHTS,902
2127,KIANGA,813
2128,KIAR,36
2129,KICKABIL,51
2130,KIELVALE,257
2131,KIKIAMAH,98
2132,KIKOIRA,66
2133,KILABEN BAY,1484
2134,KILGIN,45
2135,KILGRA,76
2136,KILLABAKH,279
2137,KILLARA,11470
2138,KILLARNEY HEIGHTS,4696
2139,KILLARNEY VALE,7442
2140,KILLAWARRA,174
2141,KILLCARE,503
2142,KILLCARE HEIGHTS,782
2143,KILLIEKRANKIE,0
2144,KILLIMICAT,28
2145,KILLINGWORTH,720
2146,KILLONGBUTTA,30
2147,KIMBRIKI,136
2148,KINCHELA,262
2149,KINCUMBER,7299
2150,KINCUMBER SOUTH,689
2151,KINDEE,99
2152,KINGS PARK,3669
2153,KINGS PLAINS (BLAYNEY),122
2154,KINGS PLAINS (INVERELL),11
2155,KINGS POINT,594
2156,KINGSCLIFF,8360
2157,KINGSDALE,174
2158,KINGSFORD,17035
2159,KINGSGATE,6
2160,KINGSGROVE,13328
2161,KINGSLAND,41
2162,KINGSTOWN,93
2163,KINGSVALE,175
2164,KINGSWOOD (BEGA VALLEY),9
2165,KINGSWOOD (PENRITH),10265
2166,KINGSWOOD (TAMWORTH REGIONAL),1089
2167,KIOLOA,265
2168,KIORA,57
2169,KIPPARA,0
2170,KIPPAXS,25
2171,KIPPENDUFF,35
2172,KIRKCONNELL,285
2173,KIRKHAM,746
2174,KIRRAWEE,9863
2175,KIRRIBILLI,4170
2176,KITCHENER,500
2177,KIWARRAK,0
2178,KLORI,48
2179,KNIGHTS HILL,45
2180,KNOCKROW,200
2181,KNORRIT FLAT,32
2182,KNORRIT FOREST,0
2183,KOGARAH,16597
2184,KOGARAH BAY,2153
2185,KOOBA,74
2186,KOOKABOOKRA,10
2187,KOOLEWONG,886
2188,KOOLKHAN,41
2189,KOONAWARRA,3757
2190,KOONORIGAN,311
2191,KOONYUM RANGE,20
2192,KOORAGANG,0
2193,KOORAINGHAT,211
2194,KOORAWATHA,422
2195,KOORINGAL,7438
2196,KOOTINGAL,2182
2197,KORALEIGH,351
2198,KOREELAH,72
2199,KORORA,2737
2200,KOSCIUSZKO,0
2201,KOSCIUSZKO NATIONAL PARK,588
2202,KOTARA,4006
2203,KOTARA SOUTH,1110
2204,KRAMBACH,387
2205,KRAWARREE,48
2206,KREMNOS,187
2207,KU-RING-GAI CHASE,7
2208,KULNURA,636
2209,KULWIN,10
2210,KUNAMA,70
2211,KUNDABUNG,646
2212,KUNDIBAKH,77
2213,KUNDLE KUNDLE,196
2214,KUNGALA,146
2215,KUNGHUR,109
2216,KUNGHUR CREEK,46
2217,KURMOND,880
2218,KURNELL,2461
2219,KURRABA POINT,1616
2220,KURRAJONG,3184
2221,KURRAJONG HEIGHTS,1384
2222,KURRAJONG HILLS,688
2223,KURRI KURRI,6393
2224,KYALITE,83
2225,KYARRAN,21
2226,KYBEYAN,41
2227,KYEAMBA,63
2228,KYEEMAGH,980
2229,KYLE BAY,1131
2230,KYNNUMBOON,133
2231,KYOGLE,2165
2232,LA PEROUSE,428
2233,LACMALAC,156
2234,LADE VALE,132
2235,LADYSMITH,383
2236,LAFFING WATERS,124
2237,LAGGAN,370
2238,LAGOON GRASS,50
2239,LAGUNA,227
2240,LAKE ALBERT,6382
2241,LAKE BATHURST,239
2242,LAKE BREWSTER,9
2243,LAKE BURRENDONG,7
2244,LAKE CARGELLIGO,1440
2245,LAKE CATHIE,3712
2246,LAKE CONJOLA,461
2247,LAKE COWAL,38
2248,LAKE GEORGE,108
2249,LAKE HAVEN,3711
2250,LAKE HEIGHTS,4130
2251,LAKE HUME VILLAGE,57
2252,LANSDOWNE (CANTERBURY-BANKSTOWN),18
2253,LANSDOWNE (MID-COAST),600
2254,LANSDOWNE FOREST,7
2255,LANSVALE,2709
2256,LAPSTONE,972
2257,LARBERT,44
2258,LARGS,2016
2259,LARNOOK,382
2260,LARRAS LEE,68
2261,LAUGHTONDALE,88
2262,LAUREL HILL,20
2263,LAURIETON,2082
2264,LAVADIA,19
2265,LAVENDER BAY,1047
2266,LAVERSTOCK,33
2267,LAVINGTON,12924
2268,LAWRENCE,1075
2269,LAWSON,2652
2270,LEADVILLE,173
2271,LECONFIELD,152
2272,LEE CREEK,3
2273,LEETON,8829
2274,LEETS VALE,61
2275,LEEVILLE,250
2276,LEGUME,154
2277,LEICHHARDT,15772
2278,LEMINGTON,9
2279,LEMON TREE,63
2280,LAKE ILLAWARRA,3264
2281,LAKE INNES,449
2282,LAKE MACQUARIE,0
2283,LAKE MUNMORAH,5450
2284,LAKE TABOURIE,688
2285,LAKE WYANGAN,939
2286,LAKELANDS,1456
2287,LAKEMBA,18256
2288,LAKESLAND,446
2289,LAKEWOOD,1276
2290,LALALTY,99
2291,LALOR PARK,8042
2292,LAMBS VALLEY (GLEN INNES SEVERN),92
2293,LAMBS VALLEY (SINGLETON),386
2294,LAMBTON,5054
2295,LANDERVALE,22
2296,LANE COVE,11987
2297,LANE COVE NORTH,12665
2298,LANE COVE WEST,2841
2299,LANGLEY VALE,47
2300,LANITZA,323
2301,LANKEYS CREEK,48
2302,LEMON TREE PASSAGE,2640
2303,LEN WATERS ESTATE,0
2304,LENAGHAN,58
2305,LENNOX HEAD,6911
2306,LEONAY,2617
2307,LEPPINGTON,5313
2308,LERIDA,26
2309,LETHBRIDGE PARK,5091
2310,LEUMEAH,10185
2311,LEURA,4903
2312,LEVENSTRATH,44
2313,LEWINSBROOK,44
2314,LEWIS PONDS,158
2315,LEWISHAM,3505
2316,LEYCESTER,150
2317,LIBERTY GROVE,2447
2318,LIDCOMBE,22115
2319,LIDDELL,0
2320,LIDSDALE,443
2321,LIDSTER,342
2322,LIGHTNING RIDGE,2259
2323,LILLI PILLI (EUROBODALLA),635
2324,LILLI PILLI (SUTHERLAND SHIRE),1437
2325,LILLIAN ROCK,216
2326,LILYDALE,25
2327,LILYFIELD,8216
2328,LILYVALE,4
2329,LIMBRI,109
2330,LIMEBURNERS CREEK (MID-COAST),326
2331,LIMEBURNERS CREEK (PORT MACQUARIE-HASTINGS),12
2332,LIMEKILNS,112
2333,LIMERICK,44
2334,LIMESTONE,7
2335,LIMPINWOOD,224
2336,LINBURN,62
2337,LINDEN,499
2338,LINDENDALE,251
2339,LINDESAY,20
2340,LINDESAY CREEK,20
2341,LINDFIELD,10606
2342,LINDIFFERON,49
2343,LINLEY POINT,365
2344,LIONSVILLE,5
2345,LISAROW,5227
2346,LISMORE,3627
2347,LISMORE HEIGHTS,2226
2348,LISTON,136
2349,LITHGOW,5250
2350,LITTLE BACK CREEK,41
2351,LITTLE BAY,4970
2352,LITTLE BILLABONG,112
2353,LITTLE FOREST,172
2354,LITTLE HARTLEY,537
2355,LITTLE JACKS CREEK,21
2356,LITTLE JILLIBY,122
2357,LITTLE PELICAN,5
2358,LITTLE PLAIN,150
2359,LITTLE RIVER,48
2360,LITTLE TOPAR,30
2361,LITTLE WOBBY,65
2362,LITTLETON,788
2363,LIVERPOOL,30425
2364,LLANARTH,2323
2365,LLANDILO,1779
2366,LLANGOTHLIN,131
2367,LLOYD,862
2368,LOADSTONE,40
2369,LOCHIEL,357
2370,LOCHINVAR,815
2371,LOCKHART,1090
2372,LOCKSLEY,53
2373,LOFTUS,4292
2374,LOFTVILLE,232
2375,LOGANS CROSSING,139
2376,LOGIE BRAE,82
2377,LONDONDERRY,4144
2378,LONG BEACH,1527
2379,LONG FLAT,125
2380,LONG JETTY,6717
2381,LONG PLAIN (INVERELL),33
2382,LONG PLAIN (SNOWY MONARO REGIONAL),0
2383,LONG POINT (CAMPBELLTOWN),219
2384,LONG POINT (SINGLETON),32
2385,LONGARM,14
2386,LONGREACH,72
2387,LONGUEVILLE,2181
2388,LOOMBERAH,521
2389,LORD HOWE ISLAND,421
2390,LORDS HILL,25
2391,LORN,1408
2392,LORNE,282
2393,LOST RIVER,76
2394,LOSTOCK,57
2395,LOUISA CREEK,10
2396,LOUTH,43
2397,LOUTH PARK,749
2398,LOVEDALE,578
2399,LOVETT BAY,157
2400,LOWANNA,366
2401,LOWER ACACIA CREEK,37
2402,LOWER BAGO,6
2403,LOWER BELFORD,412
2404,LOWER BORO,180
2405,LOWER BOTTLE CREEK,21
2406,LOWER CREEK,31
2407,LOWER DUCK CREEK,26
2408,LOWER DYRAABA,25
2409,LOWER LEWIS PONDS,43
2410,LOWER MACDONALD,268
2411,LOWER MANGROVE,69
2412,LOWER PAPPINBARRA,116
2413,LOWER PEACOCK,4
2414,LOWER PORTLAND,616
2415,LOWER SOUTHGATE,114
2416,LOWESDALE,100
2417,LOWTHER,77
2418,LOXFORD,70
2419,LUCAS HEIGHTS,0
2420,LUCKNOW,309
2421,LUDDENHAM,2066
2422,LUE,192
2423,LUGARNO,5987
2424,LURNEA,9905
2425,LUSKINTYRE,200
2426,LYNCHS CREEK,90
2427,LYNDHURST (ARMIDALE REGIONAL),22
2428,LYNDHURST (BLAYNEY),367
2429,LYNWOOD,232
2430,MABINS WELL,17
2431,MACDONALDS CREEK,13
2432,MACKSVILLE,2724
2433,MACLEAN,2657
2434,MACMASTERS BEACH,1355
2435,MACQUARIE FIELDS,14518
2436,MACQUARIE HILLS,3385
2437,MACQUARIE LINKS,1447
2438,MACQUARIE MARSHES,3
2439,MACQUARIE PARK,8966
2440,MACQUARIE PASS,0
2441,MADDENS PLAINS,3
2442,MAFFRA,24
2443,MAGENTA,223
2444,MAGOMETON,22
2445,MAIANBAR,544
2446,MAIMURU,138
2447,MAIN ARM,643
2448,MAIN CREEK,94
2449,MAIRJIMMY,58
2450,MAISON DIEU,188
2451,MAITLAND,2100
2452,MAITLAND BAR,22
2453,MAITLAND VALE,145
2454,MAJORS CREEK,265
2455,MALABAR,5915
2456,MALDON,19
2457,MALLABULA,942
2458,MALLAN,50
2459,MALLANGANEE,147
2460,MALLEE,7
2461,MALLOWA,106
2462,MALONEYS BEACH,380
2463,MALUA BAY,2011
2464,MANAR,125
2465,MANCHESTER SQUARE,18
2466,MANDAGERY,68
2467,MANDALONG,458
2468,MANDEMAR,67
2469,MANDURAMA,356
2470,MANGERTON,3142
2471,MANGOOLA,49
2472,MANGOPLAH,325
2473,MANGROVE CREEK,41
2474,MANGROVE MOUNTAIN,762
2475,MANILDRA,764
2476,MANILLA,2621
2477,MANLY,17704
2478,MANLY VALE,6635
2479,MANNERING PARK,2576
2480,MANNING POINT,247
2481,MANNUS,222
2482,MANOBALAI,68
2483,MANTON,293
2484,MANYANA,545
2485,MARAGLE,61
2486,MARAYLYA,1341
2487,MARAYONG,8347
2488,MARCH,123
2489,MARCHMONT,246
2490,MARDI,3798
2491,MARENGO,9
2492,MARES RUN,0
2493,MARINNA,51
2494,MARKS POINT,1843
2495,MARKWELL,115
2496,MARLEE,216
2497,MARLO MERRICAN,73
2498,MARLOW,22
2499,MARLOWE,3
2500,MARMONG POINT,750
2501,MAROM CREEK,131
2502,MAYBOLE,43
2503,MAYERS FLAT,52
2504,MAYFIELD (NEWCASTLE),9745
2505,MAYFIELD (OBERON),4
2506,MAYFIELD (QUEANBEYAN-PALERANG REGIONAL),20
2507,MAYFIELD (SHOALHAVEN),40
2508,MAYFIELD EAST,1749
2509,MAYFIELD NORTH,0
2510,MAYFIELD WEST,1958
2511,MAYRUNG,147
2512,MAYS HILL,860
2513,MAYVALE,13
2514,MCCULLYS GAP,250
2515,MCDOUGALLS HILL,144
2516,MCGRATHS HILL,2711
2517,MCKEES HILL,366
2518,MCKELLARS PARK,229
2519,MCLEANS RIDGES,540
2520,MCLEODS SHOOT,114
2521,MCMAHONS POINT,2578
2522,MCMAHONS REEF,56
2523,MEADOW FLAT,323
2524,MAROOTA,652
2525,MAROUBRA,33139
2526,MARRANGAROO,922
2527,MARRAR,374
2528,MARRICKVILLE,28661
2529,MARSDEN PARK,2507
2530,MARSFIELD,14532
2531,MARSHALL MOUNT,153
2532,MARSHDALE,43
2533,MARTHAGUY,61
2534,MARTINDALE,162
2535,MARTINS CREEK,399
2536,MARTINSVILLE,410
2537,MARULAN,1185
2538,MARYLAND (NEWCASTLE),8106
2539,MARYLAND (TENTERFIELD),56
2540,MARYS MOUNT,73
2541,MARYVALE,207
2542,MARYVILLE,1553
2543,MASCOT,16984
2544,MATCHAM,1032
2545,MATHESON,53
2546,MATHOURA,961
2547,MATONG,167
2548,MATRAVILLE,10720
2549,MAUDE,86
2550,MAULES CREEK,114
2551,MAXWELL,98
2552,MEADOWBANK,4795
2553,MEBBIN,1
2554,MEBUL,41
2555,MEDLOW BATH,644
2556,MEDOWIE,10091
2557,MEDWAY,127
2558,MEERSCHAUM VALE,421
2559,MEGALONG VALLEY,157
2560,MEGAN,153
2561,MELBERGEN,4
2562,MELINGA,106
2563,MELLONG,2
2564,MELLOOL,46
2565,MELROSE PARK,1788
2566,MELVILLE,66
2567,MEMAGONG,94
2568,MENAH,148
2569,MENAI,10674
2570,MENANGLE,1303
2571,MENANGLE PARK,263
2572,MENDOORAN,551
2573,MENINDEE,530
2574,MERAH NORTH,185
2575,MEREWETHER,11532
2576,MEREWETHER HEIGHTS,1454
2577,MERIMBULA,3728
2578,MERINGO,107
2579,MERNOT,0
2580,MEROO,37
2581,MEROO MEADOW,492
2582,MEROTHERIE,23
2583,MERRIANGAAH,7
2584,MERRICUMBENE,17
2585,MERRIGAL,29
2586,MERRILL,36
2587,MERRIWA,1827
2588,MERRIWAGGA,113
2589,MERRYGOEN,114
2590,MERRYLANDS,32565
2591,MERRYLANDS WEST,7052
2592,MERUNGLE HILL,268
2593,MERYLA,4
2594,METFORD,4891
2595,METHUL,55
2596,METZ,111
2597,MIAMLEY,0
2598,MIANDETTA,38
2599,MICALO ISLAND,33
2600,MICHELAGO,609
2601,MIDDLE ARM,366
2602,MIDDLE BROOK,225
2603,MIDDLE BROTHER,52
2604,MIDDLE COVE,1435
2605,MIDDLE DURAL,1073
2606,MIDDLE FALBROOK,100
2607,MIDDLE FLAT,53
2608,MIDDLE POCKET,155
2609,MIDDLETON GRANGE,5902
2610,MIDDLINGBANK,15
2611,MIDGINBIL,72
2612,MIHI,36
2613,MILA,42
2614,MILBRODALE,119
2615,MILBRULONG,98
2616,MILKERS FLAT,7
2617,MILLAH MURRAH,28
2618,MILLBANK,126
2619,MILLER,3420
2620,MILLERS FOREST,358
2621,MILLERS POINT,1748
2622,MILLFIELD,1082
2623,MILLIE,30
2624,MILLINGANDI,456
2625,MILLTHORPE,1287
2626,MILPARINKA,74
2627,MILPERRA,4133
2628,MILROY (GUNNEDAH),73
2629,MILROY (MID-WESTERN REGIONAL),51
2630,MILSONS PASSAGE,17
2631,MILSONS POINT,2453
2632,MILTON,1743
2633,MILVALE,70
2634,MIMOSA,90
2635,MINCHINBURY,5932
2636,MINDARIBBA,80
2637,MINGOOLA,20
2638,MINIMBAH,218
2639,MINJARY,38
2640,MINMI,788
2641,MINNAMURRA,787
2642,MINNIE WATER,226
2643,MINORE,159
2644,MINTO,13860
2645,MINTO HEIGHTS,391
2646,MIRADOR,402
2647,MIRANDA,16073
2648,MIRANNIE,72
2649,MIRRABOOKA,747
2650,MIRROOL,90
2651,MISSABOTTI,308
2652,MOGAREEKA,58
2653,MOGENDOURA,189
2654,MOGGS SWAMP,30
2655,MOGILLA,77
2656,MOGO (EUROBODALLA),333
2657,MOGO (MID-WESTERN REGIONAL),4
2658,MOGO CREEK,2
2659,MOGOOD,23
2660,MOGRANI,34
2661,MOGRIGUY,116
2662,MOLE RIVER,66
2663,MOLEVILLE CREEK,34
2664,MOLLYAN,33
2665,MOLLYMOOK,1172
2666,MOLLYMOOK BEACH,2596
2667,MOLONG,2663
2668,MONA VALE,11475
2669,MONAK,51
2670,MONALTRIE,196
2671,MONDAYONG,0
2672,MONDROOK,182
2673,MONGA,14
2674,MONGARLOWE,128
2675,MONGOGARIE,80
2676,MONIA GAP,13
2677,MONIVAE,32
2678,MONKERAI,70
2679,MONTEAGLE,209
2680,MONTECOLLUM,61
2681,MONTEFIORES,674
2682,MONTEREY,5002
2683,MOOBALL,208
2684,MOOBI,158
2685,MOOGEM,0
2686,MOOKERAWA,6
2687,MOOKIMA WYBRA,33
2688,MOOLARBEN,15
2689,MOOLLATTOO,0
2690,MOOLPA,7
2691,MOOMBOOLDOOL,31
2692,MOONAN BROOK,25
2693,MOONAN FLAT,131
2694,MOONBAH,586
2695,MOONBI,1147
2696,MITCHELL,1368
2697,MITCHELLS FLAT,220
2698,MITCHELLS ISLAND,477
2699,MITTAGONG,6056
2700,MOAMA,6627
2701,MODANVILLE,614
2702,MOONBRIA,6
2703,MOONEBA,80
2704,MOONEE,0
2705,MOONEE BEACH,2186
2706,MOONEY MOONEY,329
2707,MOONEY MOONEY CREEK,29
2708,MOONPAR,13
2709,MOORAL CREEK,83
2710,MOORARA,3
2711,MOORBEL,235
2712,MOORE CREEK,2461
2713,MOORE PARK,24
2714,MOOREBANK,10793
2715,MOORILDA,29
2716,MOORLAND,513
2717,MOORONG,187
2718,MOORWATHA,47
2719,MOPARRABAH,106
2720,MOPPY,14
2721,MORAGO,39
2722,MORANGARELL,40
2723,MORANS CROSSING,71
2724,MOREE,9465
2725,MORISSET,3427
2726,MORISSET PARK,795
2727,MORNING BAY,38
2728,MORORO,85
2729,MORPETH,1431
2730,MORTDALE,11147
2731,MORTLAKE,1167
2732,MORTON,224
2733,MORTONS CREEK,292
2734,MORTS ESTATE,629
2735,MORUNDAH,73
2736,MORUYA,4105
2737,MORUYA HEADS,1015
2738,MORVEN (GLEN INNES SEVERN),0
2739,MORVEN (GREATER HUME SHIRE),140
2740,MOSMAN,30877
2741,MOSS VALE,9180
2742,MOSSGIEL,40
2743,MOSSY POINT,621
2744,MOTO,136
2745,MOULAMEIN,465
2746,MOUNT ADRAH,40
2747,MOUNT ANNAN,12779
2748,MOUNT AQUILA,1
2749,MOUNT ARTHUR,177
2750,MOUNT AUSTIN,4060
2751,MOUNT BURRELL,226
2752,MOUNT PLEASANT,1445
2753,MOUNT PRITCHARD,10616
2754,MOUNT RANKIN,390
